anon_polygon_id,year,start,end,duration_days,n_points,min_z,mean_z,ndvi_deficit,severity,kind,confidence,drivers,explanation,sensors
AOI-0003,2012,2012-04-22,2012-05-31,40,7,-2.09,-1.55,0.329,критическая,стресс,0.97,['избыток осадков'],"22 апреля – 31 мая 2012, 40 дней, 7 наблюдений. NDVI ниже нормы в среднем на 1.6σ (минимум -2.1σ), это 0.33 по шкале NDVI. Осадки за 60 дней до эпизода: 65 мм при норме 31 мм (211 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Вероятная причина: переувлажнение — вымокание посева или сорванные полевые работы.","['landsat', 'modis']"
AOI-0003,2015,2015-05-08,2015-05-24,17,5,-2.01,-1.72,0.355,критическая,стресс,0.84,['избыток осадков'],"8 мая – 24 мая 2015, 17 дней, 5 наблюдений. NDVI ниже нормы в среднем на 1.7σ (минимум -2.0σ), это 0.35 по шкале NDVI. Осадки за 60 дней до эпизода: 110 мм при норме 50 мм (219 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Вероятная причина: переувлажнение — вымокание посева или сорванные полевые работы.","['landsat', 'modis']"
AOI-0003,2017,2017-04-01,2017-04-03,3,3,-1.4,-1.23,0.233,угнетение,стресс,0.61,[],"1 апреля – 3 апреля 2017, 3 дня, 3 наблюдения. NDVI ниже нормы в среднем на 1.2σ (минимум -1.4σ), это 0.23 по шкале NDVI. Подтверждено несколькими сенсорами: Landsat, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 's2']"
AOI-0003,2017,2017-04-26,2017-05-06,11,5,-2.32,-1.89,0.414,критическая,стресс,0.81,['избыток осадков'],"26 апреля – 6 мая 2017, 11 дней, 5 наблюдений. NDVI ниже нормы в среднем на 1.9σ (минимум -2.3σ), это 0.41 по шкале NDVI. Осадки за 60 дней до эпизода: 55 мм при норме 31 мм (175 % нормы). Подтверждено несколькими сенсорами: Landsat, Sentinel-2. Вероятная причина: переувлажнение — вымокание посева или сорванные полевые работы.","['landsat', 's2']"
AOI-0003,2020,2020-04-17,2020-05-17,31,11,-1.75,-1.47,0.324,угнетение,стресс,0.99,['дефицит осадков'],"17 апреля – 17 мая 2020, 31 день, 11 наблюдений. NDVI ниже нормы в среднем на 1.5σ (минимум -1.8σ), это 0.32 по шкале NDVI. Осадки за 60 дней до эпизода: 6 мм при норме 25 мм (23 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Вероятная причина: дефицит влаги.","['landsat', 'modis', 's2']"
AOI-0003,2022,2022-05-15,2022-06-19,36,13,-2.52,-1.93,0.364,критическая,стресс,0.9,[],"15 мая – 19 июня 2022, 36 дней, 13 наблюдений. NDVI ниже нормы в среднем на 1.9σ (минимум -2.5σ), это 0.36 по шкале NDVI. Осадки за 60 дней до эпизода: 70 мм при норме 70 мм (100 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis', 's2']"
AOI-0003,2024,2024-06-09,2024-06-25,17,9,-1.37,-1.15,0.254,угнетение,уборка,0.93,['дефицит осадков'],"9 июня – 25 июня 2024, 17 дней, 9 наблюдений. NDVI ниже нормы в среднем на 1.2σ (минимум -1.4σ), это 0.25 по шкале NDVI. Осадки за 60 дней до эпизода: 28 мм при норме 107 мм (26 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Эпизод начинается заметно позже пика сезона у зерновой культуры — скорее всего это уборка, а не угнетение посева.","['landsat', 'modis', 's2']"
AOI-0004,2010,2010-04-15,2010-06-26,73,12,-4.57,-2.4,0.266,критическая,стресс,0.9,[],"15 апреля – 26 июня 2010, 73 дня, 12 наблюдений. NDVI ниже нормы в среднем на 2.4σ (минимум -4.6σ), это 0.27 по шкале NDVI. Осадки за 60 дней до эпизода: 19 мм при норме 21 мм (89 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0004,2011,2011-07-08,2011-08-29,53,9,-3.44,-1.86,0.204,критическая,уборка,0.9,[],"8 июля – 29 августа 2011, 53 дня, 9 наблюдений. NDVI ниже нормы в среднем на 1.9σ (минимум -3.4σ), это 0.20 по шкале NDVI. Осадки за 60 дней до эпизода: 147 мм при норме 115 мм (127 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Эпизод начинается заметно позже пика сезона у зерновой культуры — скорее всего это уборка, а не угнетение посева.","['landsat', 'modis']"
AOI-0004,2012,2012-06-09,2012-07-09,31,4,-1.77,-1.32,0.156,угнетение,стресс,0.78,[],"9 июня – 9 июля 2012, 31 день, 4 наблюдения. NDVI ниже нормы в среднем на 1.3σ (минимум -1.8σ), это 0.16 по шкале NDVI. Осадки за 60 дней до эпизода: 137 мм при норме 105 мм (130 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0004,2018,2018-06-16,2018-07-12,27,6,-1.9,-1.43,0.162,угнетение,стресс,0.92,['дефицит осадков'],"16 июня – 12 июля 2018, 27 дней, 6 наблюдений. NDVI ниже нормы в среднем на 1.4σ (минимум -1.9σ), это 0.16 по шкале NDVI. Осадки за 60 дней до эпизода: 53 мм при норме 104 мм (51 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Вероятная причина: дефицит влаги.","['landsat', 'modis', 's2']"
AOI-0007,2018,2018-04-06,2018-06-15,71,18,-2.47,-1.6,0.318,критическая,стресс,0.9,[],"6 апреля – 15 июня 2018, 71 день, 18 наблюдений. NDVI ниже нормы в среднем на 1.6σ (минимум -2.5σ), это 0.32 по шкале NDVI. Осадки за 60 дней до эпизода: 4 мм при норме 4 мм (91 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis', 's2']"
AOI-0007,2021,2021-04-02,2021-05-20,49,16,-1.48,-1.2,0.251,угнетение,стресс,0.9,[],"2 апреля – 20 мая 2021, 49 дней, 16 наблюдений. NDVI ниже нормы в среднем на 1.2σ (минимум -1.5σ), это 0.25 по шкале NDVI. Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis', 's2']"
AOI-0007,2023,2023-05-12,2023-05-20,9,4,-1.75,-1.7,0.365,угнетение,стресс,0.52,[],"12 мая – 20 мая 2023, 9 дней, 4 наблюдения. NDVI ниже нормы в среднем на 1.7σ (минимум -1.7σ), это 0.36 по шкале NDVI. Осадки за 60 дней до эпизода: 91 мм при норме 60 мм (153 % нормы). Все наблюдения эпизода с одного сенсора (Sentinel-2). Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.",['s2']
AOI-0007,2024,2024-06-09,2024-06-15,7,3,-1.3,-1.18,0.257,угнетение,стресс,0.73,['дефицит осадков'],"9 июня – 15 июня 2024, 7 дней, 3 наблюдения. NDVI ниже нормы в среднем на 1.2σ (минимум -1.3σ), это 0.26 по шкале NDVI. Осадки за 60 дней до эпизода: 27 мм при норме 107 мм (26 % нормы). Подтверждено несколькими сенсорами: MODIS, Sentinel-2. Вероятная причина: дефицит влаги.","['modis', 's2']"
AOI-0008,2013,2013-04-24,2013-06-03,41,5,-1.45,-1.3,0.289,угнетение,стресс,0.81,[],"24 апреля – 3 июня 2013, 41 день, 5 наблюдений. NDVI ниже нормы в среднем на 1.3σ (минимум -1.4σ), это 0.29 по шкале NDVI. Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0008,2014,2014-05-21,2014-06-22,33,6,-1.73,-1.45,0.291,угнетение,стресс,0.84,[],"21 мая – 22 июня 2014, 33 дня, 6 наблюдений. NDVI ниже нормы в среднем на 1.4σ (минимум -1.7σ), это 0.29 по шкале NDVI. Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0008,2017,2017-04-26,2017-05-01,6,4,-1.21,-1.11,0.273,угнетение,стресс,0.66,[],"26 апреля – 1 мая 2017, 6 дней, 4 наблюдения. NDVI ниже нормы в среднем на 1.1σ (минимум -1.2σ), это 0.27 по шкале NDVI. Подтверждено несколькими сенсорами: Landsat, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 's2']"
AOI-0008,2019,2019-07-17,2019-07-22,6,3,-1.13,-1.1,0.102,угнетение,уборка,0.47,[],"17 июля – 22 июля 2019, 6 дней, 3 наблюдения. NDVI ниже нормы в среднем на 1.1σ (минимум -1.1σ), это 0.10 по шкале NDVI. Все наблюдения эпизода с одного сенсора (Sentinel-2). Эпизод начинается заметно позже пика сезона у зерновой культуры — скорее всего это уборка, а не угнетение посева.",['s2']
AOI-0008,2020,2020-04-17,2020-05-17,31,10,-2.32,-1.79,0.375,критическая,стресс,0.9,[],"17 апреля – 17 мая 2020, 31 день, 10 наблюдений. NDVI ниже нормы в среднем на 1.8σ (минимум -2.3σ), это 0.37 по шкале NDVI. Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis', 's2']"
AOI-0008,2024,2024-05-09,2024-06-30,53,15,-2.82,-1.62,0.309,критическая,стресс,0.9,[],"9 мая – 30 июня 2024, 53 дня, 15 наблюдений. NDVI ниже нормы в среднем на 1.6σ (минимум -2.8σ), это 0.31 по шкале NDVI. Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis', 's2']"
AOI-0011,2010,2010-04-24,2010-05-26,33,5,-3.31,-2.29,0.378,критическая,стресс,0.81,[],"24 апреля – 26 мая 2010, 33 дня, 5 наблюдений. NDVI ниже нормы в среднем на 2.3σ (минимум -3.3σ), это 0.38 по шкале NDVI. Осадки за 60 дней до эпизода: 33 мм при норме 35 мм (92 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0011,2013,2013-04-07,2013-06-03,58,8,-2.12,-1.71,0.316,критическая,стресс,0.9,[],"7 апреля – 3 июня 2013, 58 дней, 8 наблюдений. NDVI ниже нормы в среднем на 1.7σ (минимум -2.1σ), это 0.32 по шкале NDVI. Осадки за 60 дней до эпизода: 3 мм при норме 5 мм (70 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0011,2018,2018-06-10,2018-06-20,11,3,-1.64,-1.5,0.246,угнетение,стресс,0.75,['дефицит осадков'],"10 июня – 20 июня 2018, 11 дней, 3 наблюдения. NDVI ниже нормы в среднем на 1.5σ (минимум -1.6σ), это 0.25 по шкале NDVI. Осадки за 60 дней до эпизода: 35 мм при норме 107 мм (33 % нормы). Подтверждено несколькими сенсорами: MODIS, Sentinel-2. Вероятная причина: дефицит влаги.","['modis', 's2']"
AOI-0011,2019,2019-04-01,2019-05-16,46,14,-2.34,-1.58,0.288,критическая,стресс,0.9,[],"1 апреля – 16 мая 2019, 46 дней, 14 наблюдений. NDVI ниже нормы в среднем на 1.6σ (минимум -2.3σ), это 0.29 по шкале NDVI. Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis', 's2']"
AOI-0011,2024,2024-04-01,2024-05-24,54,14,-2.3,-1.54,0.274,критическая,стресс,0.9,[],"1 апреля – 24 мая 2024, 54 дня, 14 наблюдений. NDVI ниже нормы в среднем на 1.5σ (минимум -2.3σ), это 0.27 по шкале NDVI. Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis', 's2']"
AOI-0015,2010,2010-04-07,2010-05-02,26,6,-1.64,-1.49,0.281,угнетение,стресс,0.67,[],"7 апреля – 2 мая 2010, 26 дней, 6 наблюдений. NDVI ниже нормы в среднем на 1.5σ (минимум -1.6σ), это 0.28 по шкале NDVI. Осадки за 60 дней до эпизода: 7 мм при норме 6 мм (110 % нормы). Все наблюдения эпизода с одного сенсора (Landsat). Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.",['landsat']
AOI-0015,2011,2011-04-18,2011-05-04,17,5,-1.46,-1.31,0.256,угнетение,стресс,0.74,[],"18 апреля – 4 мая 2011, 17 дней, 5 наблюдений. NDVI ниже нормы в среднем на 1.3σ (минимум -1.5σ), это 0.26 по шкале NDVI. Осадки за 60 дней до эпизода: 34 мм при норме 25 мм (138 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0015,2013,2013-06-10,2013-06-27,18,5,-1.78,-1.46,0.27,угнетение,стресс,0.85,['дефицит осадков'],"10 июня – 27 июня 2013, 18 дней, 5 наблюдений. NDVI ниже нормы в среднем на 1.5σ (минимум -1.8σ), это 0.27 по шкале NDVI. Осадки за 60 дней до эпизода: 65 мм при норме 113 мм (57 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Вероятная причина: дефицит влаги.","['landsat', 'modis']"
AOI-0015,2015,2015-04-29,2015-06-09,42,12,-2.4,-1.62,0.299,критическая,стресс,0.99,['избыток осадков'],"29 апреля – 9 июня 2015, 42 дня, 12 наблюдений. NDVI ниже нормы в среднем на 1.6σ (минимум -2.4σ), это 0.30 по шкале NDVI. Осадки за 60 дней до эпизода: 67 мм при норме 39 мм (172 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Вероятная причина: переувлажнение — вымокание посева или сорванные полевые работы.","['landsat', 'modis']"
AOI-0015,2023,2023-04-27,2023-06-07,42,13,-3.42,-1.85,0.337,критическая,стресс,0.99,['избыток осадков'],"27 апреля – 7 июня 2023, 42 дня, 13 наблюдений. NDVI ниже нормы в среднем на 1.9σ (минимум -3.4σ), это 0.34 по шкале NDVI. Осадки за 60 дней до эпизода: 81 мм при норме 34 мм (237 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Вероятная причина: переувлажнение — вымокание посева или сорванные полевые работы.","['landsat', 'modis', 's2']"
AOI-0015,2024,2024-06-09,2024-07-18,40,19,-1.76,-1.29,0.241,угнетение,стресс,0.99,['дефицит осадков'],"9 июня – 18 июля 2024, 40 дней, 19 наблюдений. NDVI ниже нормы в среднем на 1.3σ (минимум -1.8σ), это 0.24 по шкале NDVI. Осадки за 60 дней до эпизода: 27 мм при норме 113 мм (24 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Вероятная причина: дефицит влаги.","['landsat', 'modis', 's2']"
AOI-0019,2011,2011-04-18,2011-04-26,9,4,-1.31,-1.17,0.2,угнетение,стресс,0.67,[],"18 апреля – 26 апреля 2011, 9 дней, 4 наблюдения. NDVI ниже нормы в среднем на 1.2σ (минимум -1.3σ), это 0.20 по шкале NDVI. Осадки за 60 дней до эпизода: 29 мм при норме 24 мм (119 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0019,2011,2011-05-28,2011-06-06,10,3,-1.42,-1.35,0.19,угнетение,низкое качество данных,0.29,[],"28 мая – 6 июня 2011, 10 дней, 3 наблюдения. NDVI ниже нормы в среднем на 1.3σ (минимум -1.4σ), это 0.19 по шкале NDVI. Осадки за 60 дней до эпизода: 112 мм при норме 97 мм (115 % нормы). Все наблюдения эпизода с одного сенсора (Landsat). Мало наблюдений и один источник — возможен остаточный облачный эффект.",['landsat']
AOI-0019,2013,2013-06-03,2013-06-11,9,3,-1.85,-1.49,0.21,угнетение,стресс,0.74,['дефицит осадков'],"3 июня – 11 июня 2013, 9 дней, 3 наблюдения. NDVI ниже нормы в среднем на 1.5σ (минимум -1.8σ), это 0.21 по шкале NDVI. Осадки за 60 дней до эпизода: 48 мм при норме 115 мм (41 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Вероятная причина: дефицит влаги.","['landsat', 'modis']"
AOI-0019,2015,2015-05-24,2015-06-16,24,8,-2.95,-1.38,0.19,критическая,стресс,0.87,[],"24 мая – 16 июня 2015, 24 дня, 8 наблюдений. NDVI ниже нормы в среднем на 1.4σ (минимум -2.9σ), это 0.19 по шкале NDVI. Осадки за 60 дней до эпизода: 131 мм при норме 91 мм (144 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0019,2018,2018-04-11,2018-06-02,53,17,-2.16,-1.55,0.237,критическая,стресс,0.99,['дефицит осадков'],"11 апреля – 2 июня 2018, 53 дня, 17 наблюдений. NDVI ниже нормы в среднем на 1.5σ (минимум -2.2σ), это 0.24 по шкале NDVI. Осадки за 60 дней до эпизода: 5 мм при норме 12 мм (40 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Вероятная причина: дефицит влаги.","['landsat', 'modis', 's2']"
AOI-0019,2021,2021-04-15,2021-05-20,36,14,-2.34,-1.25,0.204,критическая,стресс,0.99,['избыток осадков'],"15 апреля – 20 мая 2021, 36 дней, 14 наблюдений. NDVI ниже нормы в среднем на 1.3σ (минимум -2.3σ), это 0.20 по шкале NDVI. Осадки за 60 дней до эпизода: 51 мм при норме 20 мм (249 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Вероятная причина: переувлажнение — вымокание посева или сорванные полевые работы.","['landsat', 'modis', 's2']"
AOI-0019,2022,2022-07-14,2022-07-21,8,4,-1.51,-1.23,0.192,угнетение,стресс,0.77,['дефицит осадков'],"14 июля – 21 июля 2022, 8 дней, 4 наблюдения. NDVI ниже нормы в среднем на 1.2σ (минимум -1.5σ), это 0.19 по шкале NDVI. Осадки за 60 дней до эпизода: 63 мм при норме 106 мм (59 % нормы). Дней жарче 30 °C за предшествующий месяц: 0 при норме 1. Подтверждено несколькими сенсорами: Landsat, Sentinel-2. Вероятная причина: дефицит влаги.","['landsat', 's2']"
AOI-0019,2024,2024-06-15,2024-07-30,46,24,-1.79,-1.25,0.191,угнетение,стресс,0.99,['дефицит осадков'],"15 июня – 30 июля 2024, 46 дней, 24 наблюдения. NDVI ниже нормы в среднем на 1.2σ (минимум -1.8σ), это 0.19 по шкале NDVI. Осадки за 60 дней до эпизода: 30 мм при норме 109 мм (28 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS, Sentinel-2. Вероятная причина: дефицит влаги.","['landsat', 'modis', 's2']"
AOI-0020,2010,2010-04-07,2010-06-11,66,12,-2.29,-1.59,0.265,критическая,стресс,0.9,[],"7 апреля – 11 июня 2010, 66 дней, 12 наблюдений. NDVI ниже нормы в среднем на 1.6σ (минимум -2.3σ), это 0.27 по шкале NDVI. Осадки за 60 дней до эпизода: 6 мм при норме 5 мм (123 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0020,2012,2012-04-29,2012-05-22,24,4,-2.13,-1.68,0.303,критическая,стресс,0.74,[],"29 апреля – 22 мая 2012, 24 дня, 4 наблюдения. NDVI ниже нормы в среднем на 1.7σ (минимум -2.1σ), это 0.30 по шкале NDVI. Осадки за 60 дней до эпизода: 47 мм при норме 37 мм (125 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0020,2014,2014-06-05,2014-06-14,10,5,-1.56,-1.23,0.208,угнетение,стресс,0.71,[],"5 июня – 14 июня 2014, 10 дней, 5 наблюдений. NDVI ниже нормы в среднем на 1.2σ (минимум -1.6σ), это 0.21 по шкале NDVI. Осадки за 60 дней до эпизода: 94 мм при норме 116 мм (81 % нормы). Подтверждено несколькими сенсорами: Landsat, MODIS. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 'modis']"
AOI-0020,2017,2017-04-01,2017-04-03,3,3,-1.47,-1.24,0.173,угнетение,стресс,0.61,[],"1 апреля – 3 апреля 2017, 3 дня, 3 наблюдения. NDVI ниже нормы в среднем на 1.2σ (минимум -1.5σ), это 0.17 по шкале NDVI. Подтверждено несколькими сенсорами: Landsat, Sentinel-2. Погодного объяснения не нашлось: возможны агротехнические причины (поздний сев, болезни, смена культуры) или локальное событие.","['landsat', 's2']"
