pid,year,norm_source,n_obs,n_artifacts,mean_z,share_days_depressed,ph_valid,ph_peak,ph_peak_doy,ph_base,ph_amplitude,ph_sos_doy,ph_half_decline_doy,ph_integral,ph_covered_days,dev_peak_ratio,dev_peak_shift_days,dev_sos_shift_days,dev_integral_ratio,dev_decline_shift_days
AOI-0003,2016,история полигона,43,1,-0.16857012595817616,0.028169014084507043,True,0.7770260308451488,142,0.15678152681308277,0.620244504032066,92,172.0,80.11836127265309,213,1.2277943809509007,-5,0,1.0086836287310983,-10.0
AOI-0003,2017,история полигона,67,3,0.9037571341356957,0.2863849765258216,True,0.806496734615977,182,0.16875671180310353,0.6377400228128736,140,230.0,90.24550230583233,211,1.2200011635188046,38,49,1.143139614857457,56.0
AOI-0003,2018,история полигона,61,0,-0.18598559031778336,0.07981220657276995,True,0.761715305997332,126,0.16736027454311578,0.5943550314542162,91,160.0,76.14295575728187,213,1.1907345580985904,-22,0,0.9530915131634239,-17.0
AOI-0003,2019,история полигона,89,6,1.2189598486944868,0.0,True,0.8760697838063716,128,0.18035009941998403,0.6957196843863875,91,168.0,103.32622460131851,213,1.3963447959069264,-19,0,1.3239065284592073,-10.0
AOI-0003,2020,история полигона,88,2,-0.7485628757810101,0.4084507042253521,True,0.7324255674629414,157,0.08619362532619863,0.6462319421367427,113,178.0,60.02037250305091,213,1.132268956426937,16,21,0.742658002776833,1.0
AOI-0003,2021,история полигона,74,7,-0.005090072951169321,0.028169014084507043,True,0.7857296359498032,150,0.16889836719326526,0.6168312687565379,108,182.0,79.1086596568353,213,1.243620683243347,4,17,0.9923479832319072,6.0
AOI-0003,2022,история полигона,75,2,0.0676248831207313,0.18779342723004694,True,0.5211212421388999,120,0.1759335233908138,0.34518771874808607,91,144.0,73.65058722560926,213,0.7857962503505795,-28,0,0.9198660262171361,-33.0
AOI-0003,2023,история полигона,87,3,0.30827636264814995,0.0,True,0.838339309502899,135,0.17407799109281044,0.6642613184100886,91,180.0,92.85398949085732,213,1.3322505036075794,-12,0,1.1788238716006438,4.0
AOI-0003,2024,история полигона,78,1,-0.6122172168617045,0.18779342723004694,True,0.6931824982170522,140,0.16049207825502837,0.5326904199620239,92,162.0,65.03335683305967,213,1.0854642092706694,-7,0,0.8083192664630243,-20.0
AOI-0003,2025,история полигона,75,5,0.2897797922082832,0.0,True,0.8404100379260694,123,0.1756215869475576,0.6647884509785118,91,166.0,88.10473684468352,213,1.32661513194605,-24,0,1.114364958144092,-12.0
AOI-0004,2010,история полигона,27,2,-1.1668697877814784,0.43661971830985913,True,0.5280915657423353,232,0.21422125551034576,0.3138703102319895,121,258.0,83.86628789916685,204,0.7392517658207893,82,20,0.8118675711255418,43.0
AOI-0004,2011,история полигона,30,5,-1.3971623286115062,0.460093896713615,True,0.7306588899931327,141,0.2197757821958962,0.5108831077972364,122,189.0,81.1287972795198,196,1.0499012062206228,-9,20,0.7851537637669656,-37.0
AOI-0004,2012,история полигона,25,0,-0.36844527793508447,0.2347417840375587,True,0.6703506251629815,150,0.20582337845331,0.4645272467096715,96,186.0,95.54629059664109,207,0.9604346136408585,0,-8,0.9314860141277722,-31.0
AOI-0004,2013,история полигона,20,3,0.4250800471556346,0.23943661971830985,True,0.6447320553025501,200,0.17574558105631838,0.4689864742462317,103,272.0,101.11057044449721,192,0.9195558661287893,50,1,0.990747498899767,58.0
AOI-0004,2014,история полигона,32,4,-0.6738943541380655,0.5117370892018779,True,0.7176874435588033,141,0.14727118817323376,0.5704162553855696,98,198.0,93.05218118677502,205,1.0321813168041203,-9,-4,0.9065978597056507,-25.0
AOI-0004,2015,история полигона,30,2,-0.2627880268995495,0.20187793427230047,True,0.7374441308685291,158,0.11555044311267325,0.6218936877558559,104,240.0,98.84098077151997,207,1.0616221972830437,9,3,0.9659263435411591,21.0
AOI-0004,2016,история полигона,31,2,0.49716701564297944,0.07511737089201878,True,0.783209189592128,149,0.2635017420680807,0.5197074475240473,99,210.0,110.87850663178934,212,1.134351635803857,-1,-4,1.0913234170574428,-8.0
AOI-0004,2017,история полигона,45,1,0.5808241690704611,0.0,True,0.7431431471655301,157,0.20867345616256652,0.5344696910029636,104,219.0,107.42974064803661,212,1.071078518016656,8,2,1.0551952778696772,0.0
AOI-0004,2018,история полигона,49,0,-0.4522848442444846,0.18309859154929578,True,0.6491820998421161,146,0.22889346175675038,0.42028863808536565,98,184.0,94.83468291606262,213,0.9278557910524514,-4,-4,0.9234373637656718,-36.0
AOI-0004,2019,история полигона,65,4,0.4081398460687181,0.03286384976525822,True,0.7531157107794422,146,0.28756465240106344,0.46555105837837873,102,179.0,107.97955996174396,213,1.0874528326363224,-4,0,1.0608617245243712,-41.0
AOI-0004,2020,история полигона,66,1,-0.019713257057496207,0.07511737089201878,True,0.7550669830556903,158,0.27238685342664654,0.4826801296290438,112,214.0,101.70784764802008,213,1.0875821304323834,9,10,0.9940288043171497,-4.0
AOI-0004,2021,история полигона,56,6,0.2805350109957456,0.06103286384976526,True,0.7927682359006966,150,0.22773369520066414,0.5650345407000325,105,211.0,107.51527271978216,213,1.1492646938112507,0,3,1.0558061775198806,-10.0
AOI-0004,2022,история полигона,57,1,0.678766662661908,0.009389671361502348,True,0.766789467995423,149,0.2037465768685113,0.5630428911269117,100,200.0,110.67643389515919,213,1.108810244659858,-1,-2,1.0891575693382758,-19.0
AOI-0004,2023,история полигона,54,2,1.287590568773644,0.014084507042253521,True,0.7964205497497893,162,0.15917550531540162,0.6372450444343877,104,241.0,115.93962988162995,198,1.1545801511537268,12,2,1.1482930488235248,23.0
AOI-0004,2024,история полигона,57,1,-0.017226464119725126,0.0,True,0.6493620309219823,150,0.26858459312421495,0.38077743779776735,100,230.0,101.71019523771591,213,0.9285021214200168,0,-3,0.9943266568365821,14.0
AOI-0004,2025,история полигона,49,3,-0.028280444057006752,0.1784037558685446,True,0.6540021285124132,155,0.31660328039148905,0.3373988481209242,97,201.0,100.2178799920154,207,0.9345345256974554,6,-6,0.9812756945179355,-20.0
AOI-0005,2025,среднее по культуре (истории полигона нет),54,6,0.20472255540213397,0.0,True,0.6345401990769407,150,0.24811654557917806,0.38642365349776264,91,192.0,90.96881999138319,210,1.06075115223504,3,0,1.0647489778519603,-3.0
AOI-0006,2025,среднее по культуре (истории полигона нет),51,9,-0.38197197441060937,0.19718309859154928,True,0.6524773654680084,166,0.182220823969136,0.4702565414988724,91,208.0,70.78073054076324,210,1.0907364391322842,19,0,0.8284565030307236,13.0
AOI-0007,2010,история полигона,28,0,0.10254586337160458,0.03755868544600939,True,0.6660583701085578,141,0.08732946443133938,0.5787289056772185,91,166.0,74.53733790871804,213,1.16108163713549,-3,0,1.0656860676357336,-12.0
AOI-0007,2011,история полигона,27,3,0.334802625447393,0.19248826291079812,True,0.5664308552993016,194,0.1495592330681164,0.41687162223118523,91,228.0,66.41450210749065,195,0.9516381862894945,51,0,0.9459761020018832,52.0
AOI-0007,2012,история полигона,20,3,0.1278394462699477,0.06103286384976526,True,0.6579316167533164,125,0.1525256490670947,0.5054059676862217,113,156.0,57.16536309027791,184,1.1317657523888938,-19,21,0.8124932832227489,-22.0
AOI-0007,2013,история полигона,28,0,-0.0384772385795344,0.2300469483568075,True,0.6483435834701261,177,0.13623571126979586,0.5121078722003303,117,211.0,68.91724416869758,213,1.0931637223136277,33,26,0.97954996836114,37.0
AOI-0007,2014,история полигона,31,4,-0.3829027800765941,0.1267605633802817,True,0.7618432891405748,136,0.12101581657571586,0.6408274725648588,92,163.0,64.92577320681724,204,1.3356295485558796,-9,1,0.9204547444184273,-16.0
AOI-0007,2015,история полигона,30,3,-0.13884198111254797,0.0,True,0.7162433725935637,142,0.16158109034936793,0.5546622822441958,91,168.0,66.56648463844876,206,1.2565201416535958,-2,0,0.9461415335710344,-11.0
AOI-0007,2016,история полигона,30,3,0.8428364740372292,0.0892018779342723,True,0.6781323872496597,193,0.18219285849615025,0.4959395287535095,120,234.0,83.3685767840251,213,1.153625710168171,50,28,1.203559828335067,59.0
AOI-0007,2017,история полигона,55,2,-0.3802097654031987,0.051643192488262914,True,0.6900815711981416,147,0.14908206670798865,0.540999504490153,100,174.0,62.03464991963551,205,1.2062775380920083,4,9,0.877995150762162,-4.0
AOI-0007,2018,история полигона,41,0,-0.9811100066461491,0.4694835680751174,True,0.24619812147346978,142,0.14171247915867755,0.10448564231479224,91,184.0,41.215595961395834,210,0.4095624304790295,-2,0,0.5714775418845669,7.0
AOI-0007,2019,история полигона,81,3,0.4311902140304137,0.0,True,0.8137923844329176,142,0.14785878356194782,0.6659336008709698,91,165.0,81.80187905505316,213,1.4446493988112508,-2,0,1.179309950909609,-17.0
AOI-0007,2020,история полигона,79,0,-0.30665801343146004,0.19248826291079812,True,0.6934356398446065,127,0.12078733602536036,0.5726483038192461,92,164.0,67.29328684970248,213,1.2020583882195424,-17,0,0.9573353140546819,-15.0
AOI-0007,2021,история полигона,71,4,-0.1464561619020626,0.20187793427230047,True,0.7122974513673005,162,0.1574858831059892,0.5548115682613113,125,184.0,63.67091161490454,213,1.212455569870443,19,34,0.9007415605598786,10.0
AOI-0007,2022,история полигона,75,4,0.4943364285704356,0.0,True,0.8704088490617083,147,0.15081412430419203,0.7195947247575163,91,174.0,85.15295404981356,213,1.5550485951027755,4,0,1.2308322483163099,-4.0
AOI-0007,2023,история полигона,74,2,0.6355804716988039,0.23943661971830985,True,0.813053938398244,180,0.03847185960633971,0.7745820787919043,91,228.0,84.50126893754674,213,1.3687476283908968,37,0,1.218884157214818,56.0
AOI-0007,2024,история полигона,68,1,-0.08669947174609678,0.051643192488262914,True,0.7874683189141639,128,0.1427647816441588,0.6447035372700052,92,157.0,71.47215685286051,213,1.3790322142628888,-16,0,1.0208487815215117,-22.0
AOI-0007,2025,история полигона,74,6,-0.07591845091046678,0.056338028169014086,True,0.7528849080929747,145,-0.034648932426862164,0.7875338405198369,100,173.0,64.49294476811095,210,1.3269846911112975,2,9,0.9142284917006094,-6.0
AOI-0008,2010,история полигона,26,2,-0.12448175691927908,0.0,True,0.5202532506873794,144,0.14008317546852947,0.38017007521884993,108,192.0,57.81100744552373,196,0.8596054667519499,5,17,0.8406381208178777,23.0
AOI-0008,2011,история полигона,25,1,-0.01172180366510904,0.0,True,0.6628487485216338,141,0.1502010245940894,0.5126477239275444,91,168.0,64.81614096627473,195,1.1134901240144737,1,0,0.9451863358653678,-2.0
AOI-0008,2012,история полигона,20,0,0.3343754749357198,0.03755868544600939,True,0.5582544358783844,126,0.20800091546100533,0.3502535204173791,99,154.0,65.63217987999982,205,0.920649926665359,-15,7,0.9592344948314875,-16.0
AOI-0008,2013,история полигона,26,0,0.18962137427446402,0.27230046948356806,True,0.425776076428197,176,0.21900292713516345,0.20677314929303353,91,189.0,59.29032758644631,213,0.690833714943583,37,0,0.8573130413840556,20.0
AOI-0008,2014,история полигона,31,3,-0.9777833902025801,0.3051643192488263,True,0.5159674502182152,123,0.14103587510623072,0.3749315751119845,92,142.0,46.668035330537506,192,0.836290251691469,-18,1,0.6683827196856219,-28.0
AOI-0008,2015,история полигона,28,4,-0.11718531697011896,0.023474178403755867,True,0.7295440477123218,138,0.148532921833336,0.5810111258789858,91,172.0,70.24963038475482,190,1.234753011075967,-2,0,1.0303405803541303,2.0
AOI-0008,2016,история полигона,28,0,0.8810254564182558,0.004694835680751174,True,0.8052516441619866,126,0.16599019973595044,0.6392614444260362,92,162.0,84.85210075479262,213,1.3575078056143794,-15,0,1.2631290749582298,-9.0
AOI-0008,2017,история полигона,52,2,-0.29011101703293984,0.23943661971830985,True,0.7082728900378421,150,0.04717509732914688,0.6610977927086952,91,179.0,61.76095091892202,205,1.181664253533843,12,0,0.8967126669546208,10.0
AOI-0008,2018,история полигона,40,1,-0.46021906247685024,0.3145539906103286,True,0.6964473134519233,124,0.10404312204796215,0.5924041914039612,91,161.0,63.321272436251135,210,1.1675370618531116,-17,0,0.9208681898751903,-9.0
AOI-0008,2019,история полигона,77,5,0.5938863665607956,0.15492957746478872,True,0.8210554724460691,131,0.13716271834509355,0.6838927541009756,99,161.0,78.27143933666939,205,1.4019145483246163,-10,8,1.158135564055287,-10.0
AOI-0008,2020,история полигона,77,8,-0.005020937200561712,0.38967136150234744,True,0.5525330988658038,181,0.13754591420478537,0.41498718466101847,122,202.0,58.50814943226051,213,0.8936063255736072,43,30,0.8471875895008628,34.0
AOI-0008,2021,история полигона,70,8,0.9460725838053549,0.07042253521126761,True,0.8408877243441841,137,0.14657736388594098,0.6943103604582431,91,162.0,82.25333501974356,213,1.4401230798031646,-4,0,1.2176736409125246,-9.0
AOI-0008,2022,история полигона,73,1,-0.20340473291389355,0.13145539906103287,True,0.7415712768440229,153,0.14578680123175727,0.5957844756122657,107,174.0,65.10100690896014,213,1.2429439135343514,15,16,0.9469627357786802,5.0
AOI-0008,2023,история полигона,68,6,0.7500212755362169,0.009389671361502348,True,0.8835010589515035,136,0.13781336437126365,0.7456876945802399,91,173.0,93.1145284302197,213,1.5208211181760416,-4,0,1.3949812331494131,4.0
AOI-0008,2024,история полигона,64,1,-1.186169105705119,0.5633802816901409,True,0.22981587675770326,116,0.14773196024465926,0.082083916513044,92,142.0,37.04753763682631,213,0.3667314285026619,-24,0,0.5255031793223759,-29.0
AOI-0008,2025,история полигона,69,5,0.2245172147099574,0.0,True,0.8744930117998064,117,0.14597110124975612,0.7285219105500503,91,170.0,84.8549019939845,210,1.4993817448385551,-23,0,1.2613949139908027,1.0
AOI-0009,2025,среднее по культуре (истории полигона нет),72,2,-0.4320343639102936,0.4460093896713615,True,0.8193023725135471,127,0.14407228415534235,0.6752300883582047,93,157.0,73.9932258330272,210,1.369615253591314,-20,2,0.8660573104185326,-38.0
AOI-0010,2010,история полигона,23,0,0.04844861316342693,0.0,True,0.6758820479108179,140,0.1724976564759163,0.5033843914349015,91,162.0,72.59874134707047,213,1.0632209746121655,10,0,1.0355060630842479,0.0
AOI-0010,2011,история полигона,21,0,0.3559575912226784,0.06103286384976526,True,0.7072042007479561,142,0.18048351591926654,0.5267206848286896,91,166.0,70.93133510266462,204,1.1139224115582511,12,0,1.012214353530085,5.0
AOI-0010,2012,история полигона,17,1,-0.937291674918019,0.4225352112676056,True,0.39141664641959667,116,0.048855679241458096,0.34256096717813855,92,147.0,43.53946549268213,196,0.5946119307738741,-14,0,0.6072673890750444,-16.0
AOI-0010,2013,история полигона,21,3,0.2781700287098153,0.004694835680751174,True,0.8811960946733632,130,0.1731003490250883,0.7080957456482749,92,151.0,74.67486365301201,185,1.423114840771202,-4,1,1.0687271887368401,-12.0
AOI-0010,2014,история полигона,26,2,-0.6914399052805991,0.2676056338028169,True,0.76027273218997,116,0.11900364332603959,0.6412690888639304,92,164.0,63.750091685422944,184,1.2029702643395301,-14,1,0.9041275086848596,2.0
AOI-0010,2015,история полигона,25,0,-1.326485394330218,0.4647887323943662,True,0.27839573190310246,129,0.1381913205720222,0.14020441133108025,102,158.0,39.35487071979735,204,0.4227679333719457,-1,11,0.5442094245511344,-4.0
AOI-0010,2016,история полигона,25,4,0.49381975821896096,0.028169014084507043,True,1.193872065842709,104,0.14663434807754222,1.0472377177651668,104,148.0,74.79862644897577,190,1.9030286290998029,-26,12,1.0780468028612091,-15.0
AOI-0010,2017,история полигона,48,1,-0.22078858709590113,0.09859154929577464,True,0.6939297983817201,130,0.14093280036329456,0.5529969980184255,96,170.0,68.07153804409815,206,1.1001649827271005,0,5,0.9685545542461493,9.0
AOI-0010,2018,история полигона,36,3,-0.4843912425012546,0.38028169014084506,True,0.8033305090148622,122,0.11307162134658907,0.6902588876682731,91,161.0,71.11742341149213,210,1.2832109437289516,-8,0,1.0137536310075863,-1.0
AOI-0010,2019,история полигона,65,4,0.12458467274035272,0.107981220657277,True,0.7891770344725442,136,0.13243800953897164,0.6567390249335725,91,159.0,75.499967357311,213,1.2616475663434532,6,0,1.0800731489702495,-3.0
AOI-0010,2020,история полигона,66,0,-0.5716644790873009,0.3333333333333333,True,0.7110680617418482,92,0.1422924838417943,0.568775577900054,92,154.0,66.19941001345393,213,1.1206015709911057,-38,0,0.9409517932942394,-8.0
AOI-0010,2021,история полигона,58,1,0.6373549826435292,0.3145539906103286,True,0.3734022020666034,117,0.22243556533761868,0.15096663672898472,91,133.0,62.94866339166435,213,0.5691512290677984,-13,0,0.889187940347643,-29.0
AOI-0010,2022,история полигона,56,2,1.2355324857105952,0.0,True,0.7631165258576486,138,0.21726237615846783,0.5458541496991807,91,170.0,89.36289721662527,213,1.2161331256943686,8,0,1.296489169500532,9.0
AOI-0010,2023,история полигона,61,3,1.3245448546488328,0.004694835680751174,True,0.7005282461639467,149,0.12122139812048763,0.5793068480434591,91,182.0,88.48853727511188,213,1.1084747778529045,19,0,1.281976994681529,21.0
AOI-0010,2024,история полигона,50,0,0.01815368196872093,0.0,True,0.7723535181449113,127,0.18251425096115503,0.5898392671837562,92,156.0,74.48283653185563,213,1.2336636472625773,-3,0,1.0675663759500535,-7.0
AOI-0010,2025,история полигона,63,2,-0.2179551151179106,0.12206572769953052,True,0.7105566665281347,138,0.1513862193994128,0.5591704471287219,94,161.0,67.10056045946321,211,1.1246822262609197,8,3,0.9525203689642737,-1.0
AOI-0011,2010,история полигона,29,3,0.19908008982731307,0.24882629107981222,True,1.8748213132952265,103,0.11528682311611434,1.7595344901791121,103,105.0,73.99118374031065,201,2.6862155492839745,-38,12,0.9495772242855306,-68.0
AOI-0011,2011,история полигона,25,0,-0.4201812873288182,0.15023474178403756,True,0.7357704313472487,134,0.1365978507279777,0.599172580619271,91,166.0,68.77845437981506,204,1.0914526029197669,-9,0,0.8759174845897449,-9.0
AOI-0011,2012,история полигона,21,4,-0.48648008736746373,0.15023474178403756,True,0.6407179920708399,136,0.04651419158081061,0.5942038004900293,113,167.0,53.98234760290735,175,0.943437339969253,-7,21,0.6872876586077534,-10.0
AOI-0011,2013,история полигона,28,1,-0.12325879925099349,0.3145539906103286,True,0.660623669612591,176,0.17841210954354475,0.48221156006904625,126,208.0,69.46987268949516,206,0.9481845721832207,34,35,0.8839540482339925,36.0
AOI-0011,2014,история полигона,32,3,-0.4634086979059133,0.2535211267605634,True,0.7858008581175816,133,0.11604068285288746,0.6697601752646941,92,163.0,71.07715026300096,204,1.1698102619888324,-12,1,0.9067140722930302,-13.0
AOI-0011,2015,история полигона,28,3,0.04221008424715265,0.0,True,0.796200654306715,139,0.1598057016530611,0.636394952653654,91,168.0,78.58752562687374,206,1.1907145919342474,-4,0,1.0088183600251257,-7.0
AOI-0011,2016,история полигона,31,8,0.37715626130319624,0.009389671361502348,True,0.8037478458822935,145,-0.17974285403349552,0.9834906999157891,114,229.0,74.62081196518935,187,1.2033463300239609,3,22,0.9651204285918233,52.0
AOI-0011,2017,история полигона,57,2,-0.013346179877208923,0.0,True,0.80779779244994,143,0.15594657378693125,0.6518512186630088,91,173.0,81.25146308983895,209,1.2102101343356568,1,0,1.0449812585484388,-2.0
